product,channel,title,url,video_id
Catrice HD Liquid Coverage,Taylor Wynn,OMG..Catrice HD LIQUID COVERAGE FOUNDATION {First Impression Review & Demo!} 15 DAYS OF FOUNDATION,https://www.youtube.com/watch?v=zaCNDzBVTYo,zaCNDzBVTYo
Catrice HD Liquid Coverage,Thrift Thick,Only FOUR Shades... WTF!? | Let's Test!: Catrice HD Liquid Coverage Foundation,https://www.youtube.com/watch?v=UaRm5OVwASA,UaRm5OVwASA
Catrice HD Liquid Coverage,Ashley Roark,OMG! FAVORITE FOUNDATION RE-FORMULATED?! 😩 Catrice HD Liquid Coverage Foundation *NEW vs. OLD*,https://www.youtube.com/watch?v=b8anMxwebQU,b8anMxwebQU
Catrice HD Liquid Coverage,Zoey Noel,FULL COVERAGE FRIDAY: *DRUGSTORE* CATRICE HD LIQUID COVERAGE FOUNDATION,https://www.youtube.com/watch?v=jLn3uvIq6qQ,jLn3uvIq6qQ
Catrice HD Liquid Coverage,Ivory Cherry,2 Day Wear Test on Catrice True Skin Hydrating Foundation for OILY and ACNE Skin,https://www.youtube.com/watch?v=s6xxhgt3BGE,s6xxhgt3BGE
Catrice HD Liquid Coverage,StephiRaye,NEW Catrice Liquid HD Foundation - 40 Warm Beige Demo/Review,https://www.youtube.com/watch?v=meSyzHS2Qnk,meSyzHS2Qnk
Charlotte Tilbury Airbrush Flawless,Kirsty Lo,ESTEE LAUDER DOUBLE WEAR VS. CHARLOTTE TILBURY AIRBRUSH FLAWLESS FOUNDATION | Review & Wear Test!,https://www.youtube.com/watch?v=LmPGfxgYiP0,LmPGfxgYiP0
Charlotte Tilbury Airbrush Flawless,Thrift Thick,TOO GOOD TO BE TRUE...!? | Charlotte Tilbury Airbrush Flawless Foundation (WEEKLY WEAR: Oily Skin),https://www.youtube.com/watch?v=rYfJmsxQ25c,rYfJmsxQ25c
Charlotte Tilbury Airbrush Flawless,Nina Ubhi Beauty & Fashion,Charlotte Tilbury Says This New Airbrush Foundation Covers Everything… I Tested It! | Nina Ubhi,https://www.youtube.com/watch?v=OxJVcxjrdIA,OxJVcxjrdIA
Charlotte Tilbury Airbrush Flawless,Magdaline Janet,WORTH THE HYPE? 2 DAY WEAR CHARLOTTE TILBURY AIRBRUSH FLAWLESS FOUNDATION | MagdalineJanet,https://www.youtube.com/watch?v=B3eKHUPJNP8,B3eKHUPJNP8
Charlotte Tilbury Airbrush Flawless,Kirsty Lo,CHARLOTTE TILBURY AIRBRUSH FLAWLESS VS. NARS SOFT MATTE COMPLETE FOUNDATION | Review & Wear Test!,https://www.youtube.com/watch?v=QQQfjFftyNw,QQQfjFftyNw
Charlotte Tilbury Airbrush Flawless,Kirsty Lo,CHARLOTTE TILBURY AIRBRUSH FLAWLESS VS. CLINIQUE EVEN BETTER SERUM FOUNDATION | Review & Wear Test!,https://www.youtube.com/watch?v=RxiuDiEKZ6o,RxiuDiEKZ6o
Clinique Even Better,Thrift Thick,Clinique Even Better Clinical Serum Foundation | WEEKLY WEAR: Oily Skin Review,https://www.youtube.com/watch?v=hvF6ifMDBco,hvF6ifMDBco
Clinique Even Better,Sasha Stockwell,New Clinique Even Better Clinical Serum Foundation WEAR TEST on acne prone & oily skin (cn 08 linen),https://www.youtube.com/watch?v=iQrZec45IXE,iQrZec45IXE
Clinique Even Better,Kirsty Lo,ESTEE LAUDER DOUBLE WEAR VS. CLINIQUE EVEN BETTER CLINICAL SERUM FOUNDATION | Review & Wear Test!,https://www.youtube.com/watch?v=W20nL_wRClk,W20nL_wRClk
Clinique Even Better,Samantha Schuerman,THIS WENT DOWNHILL FAST | Clinique Even Better Clinical Serum Foundation Demo/Wear Test | Oily Skin,https://www.youtube.com/watch?v=XUOHG3l0bBw,XUOHG3l0bBw
Clinique Even Better,Magdaline Janet,2 DAY WEAR TEST CLINIQUE EVEN BETTER SERUM FOUNDATION *oily skin* | MagdalineJanet,https://www.youtube.com/watch?v=qGBOGhpOo80,qGBOGhpOo80
Clinique Even Better,Steff’s Beauty Stash,NEW Clinique Even Better Clinical Vitamin Foundation Review + 2 Day Wear Test,https://www.youtube.com/watch?v=9AMGx9lHWX8,9AMGx9lHWX8
